lci,cci,lcic,ccic
9.4,9.1,,100.7
9.4,9.2,,101.5
9.4,9.4,,101.9
9.5,9.6,,103.2
9.5,9.7,,103.1
9.6,9.7,,103.1
9.6,9.8,,103
9.6,9.9,,102.6
9.7,10,,102.6
9.7,10,,102.1
9.8,10.1,,101.8
9.8,10.1,,101.4
9.9,10.2,,101.1
9.9,10.3,,101.2
10,10.4,,101.4
10.1,10.6,,101.7
10.1,10.7,,101.8
10.2,10.8,5.9,102.2
10.2,10.9,5.6,101.9
10.2,10.9,5.6,101.1
10.2,10.9,4.7,99.8
10.2,10.8,4.5,98.6
10.2,10.9,4.1,98.4
10.2,11,3.7,97.8
10.2,10.9,3.1,96.1
10.2,10.9,2.9,95.4
10.3,10.9,3.2,94.6
10.4,11.1,3.5,95.5
10.5,11.2,4.3,95.4
10.6,11.4,4.9,95.8
10.7,11.5,5.9,95.8
10.9,11.6,7.1,96
11.1,11.8,9.3,96.9
11.4,12,11.2,97.4
11.6,12.2,13.1,98.1
11.7,12.5,14.2,99.3
12,12.7,16.5,100.4
12.3,12.9,18.1,100.5
12.6,13,20.2,100.3
12.7,13.2,20,101.1
12.8,13.4,19.5,102.1
12.8,13.6,18.2,102.3
12.9,13.8,17.9,102.5
13,14,17.3,103.5
13.1,14.3,15.4,104.7
13,14.6,13.2,105.6
12.9,14.7,10.6,105.6
12.9,14.8,8.5,105.2
12.9,14.9,7,105.2
12.8,15.2,4.8,106
12.7,15.2,2.5,105.2
12.5,15.2,0,103.9
12.4,15.3,-1.7,103.9
12.4,15.5,-2.8,103.9
12.4,15.7,-3.5,104.4
12.3,15.6,-4.4,103.1
12.3,15.6,-4.3,101.8
12.3,15.4,-4.3,100.1
12.4,15.5,-3.3,99.5
12.6,15.6,-1.4,99.3
12.6,15.8,-1.5,99.5
12.7,16,-0.1,100.1
12.8,16.1,0.9,99.8
13,16.2,3.1,99.3
13.2,16.2,5.7,98.5
13.4,16.3,7.5,98.1
13.6,16.4,9.1,97.3
13.7,16.7,9.8,98.4
13.8,16.9,10.2,98.1
13.9,17.2,11.4,98.5
14.1,17.4,11.7,98.8
14.2,17.7,11.9,99.1
14.3,18,12.2,99.7
14.5,18.2,12.4,99.5
14.7,18.4,12.8,99.3
14.8,18.5,12.9,98.9
14.9,18.8,12.3,99.2
14.9,19.1,11.3,99.6
15,19.6,10.5,101
15.1,19.9,9.9,101.5
15.1,20.1,8.7,101.3
15.1,20.1,7.8,99.8
15.2,20.2,7.1,99.3
15.3,20.3,7,98.5
15.3,20.5,6.6,98
15.4,20.7,6.1,97.9
15.4,20.8,5.2,97.6
15.5,21.2,5.1,97.9
15.6,21.3,5.2,97.3
15.8,21.7,6.3,98.2
16,21.7,6.6,97.4
16.1,22.1,6.9,97.8
16.1,22.1,6.5,97.3
16.2,22.5,6.5,98
16.3,22.7,6.9,98.1
16.4,23.1,7,99.3
16.5,23.6,7.4,100.7
16.7,23.9,7.9,101.4
16.8,24.1,8.2,101.4
16.9,24.2,8.3,101.5
17,24.4,8,101.8
16.9,24.6,7,101.8
17,24.8,6.5,102.1
17,25.1,6.2,102.8
17.1,25.4,6.1,103.5
17.2,25.6,5.5,103.9
17.2,25.8,5.1,104.2
17.2,26,4.5,104.6
17.4,26.3,5.1,105.2
17.4,26.4,4.2,105.2
17.3,26.5,3.2,104.9
17.1,26.3,1.5,103.8
16.9,26.4,-0.2,103.8
16.8,26.3,-0.9,103.2
16.8,26.3,-1.3,103.1
16.8,26.2,-1.6,102.2
16.9,26.1,-1.4,102
16.9,26.2,-1.4,102.2
16.9,26.3,-1.6,102.1
16.9,26.3,-1.6,102.1
16.9,26.3,-1.1,102.1
17,26.2,-0.7,101.5
17.1,26.1,-0.2,101
17.1,25.9,0.2,100.4
17.2,25.8,0.9,99.7
17.4,25.7,2.1,98.8
17.4,25.7,2.8,98.5
17.5,25.7,3.6,98.4
17.6,25.7,4.1,97.9
17.7,25.8,4.8,98.1
17.8,25.8,5.3,98
18,26,6.1,98.5
18.2,26.2,6.9,99
18.4,26.4,7.6,99.5
18.5,26.6,8.1,100.4
18.7,26.8,8.5,100.8
19,26.9,9.5,101.2
19.2,27,10.2,101.3
19.3,27,10.3,101.1
19.4,27.1,9.9,101.3
19.4,27.1,9.5,101.2
19.5,27.3,9.3,101.5
19.7,27.2,9.1,101.1
19.8,27.2,8.8,100.9
19.9,27.2,8.3,100.4
19.9,27.1,7.8,99.7
20,27.1,7.5,99.4
20.3,27.1,7.8,99
20.5,27.1,8,98.8
20.6,27.2,7.9,99
20.8,27.3,8.2,99
21.1,27.4,8.8,98.9
21.3,27.6,9.5,99.4
21.6,27.7,10,99.3
21.8,27.9,10.6,99.8
22.1,28.1,11.4,99.9
22.4,28.2,12.1,100
22.6,28.3,12.1,100.1
22.6,28.4,11.7,100
22.7,28.5,11.2,99.9
23.1,28.7,12,100.3
23.4,29,12.2,100.7
23.6,29.1,12.1,100.8
23.7,29.3,11.4,101
23.8,29.5,11.1,101.1
24,29.7,10.7,101.3
24.1,29.8,10.2,101.5
24.2,30,9.4,101.5
24.3,30.2,8.8,101.8
24.5,30.3,8.3,101.5
24.7,30.5,8.4,101.7
24.9,30.6,8.1,101.4
25,30.7,8,101.4
25.1,30.9,7.5,101.6
25.3,31,7.5,101.4
25.4,31.1,7.4,101.2
25.5,31.1,6.9,100.6
25.7,31.1,6.9,100
26,31.1,7.4,99.5
26.2,31.2,7.6,99.3
26.3,31.2,7.6,98.5
26.4,31.3,7.4,98.4
26.7,31.4,7.9,98.1
26.9,31.7,8.1,98.5
27,31.9,7.8,98.6
27.1,32.2,7.5,98.6
27.3,32.3,7.4,98.4
27.5,32.3,7.6,98
27.7,32.4,7.8,97.7
27.9,32.6,7.8,97.7
28.1,32.9,8,98.1
28.4,33.3,8.3,98.7
28.7,33.5,8.7,98.7
28.9,33.7,9,98.9
29.3,33.9,9.5,98.8
29.7,34.2,10.2,99.1
30,34.7,10.7,100
30.3,35.1,11.1,100.4
30.5,35.3,11.1,100.4
30.8,35.5,11.3,100.4
31,35.7,11.2,100.3
31.3,35.9,11.3,100.2
31.5,36.1,11,100.1
31.7,36.3,10.8,100
31.9,36.5,10.5,99.8
32.2,36.8,10.5,99.9
32.8,37.2,11.3,100.3
33,37.5,11.1,100.6
33.2,38,10.7,101.3
33.1,38.5,9.4,101.8
33.4,38.7,9.4,102
33.6,38.5,9,100.8
33.9,38.5,8.9,100.1
34.2,38.8,8.9,100.3
34.7,39.5,9.3,101.6
35,40,9.7,102.2
35.3,40.2,9.6,102.1
35.5,40.4,9.5,102.1
35.7,40.5,9.4,101.6
35.9,40.4,9.2,100.9
36.2,40.4,9,100.2
36.4,40.5,8.8,99.9
36.7,40.7,8.8,99.7
37.1,41,9,100
37.3,41.3,9,100.1
37.5,41.7,8.8,100.3
37.7,41.8,8.4,100.2
37.8,41.9,8.1,99.7
38.2,42.1,8.4,99.6
38.5,42.2,8.4,99.4
38.8,42.4,8.4,99.3
39.2,42.5,8.6,98.9
39.6,42.6,8.8,98.6
39.9,42.9,9,98.7
40.2,43.3,9.1,99.1
40.7,43.8,9.6,99.7
41.1,44.2,10,100.1
41.4,44.4,10,100.1
41.6,44.6,9.6,99.9
41.8,44.8,9.4,99.8
42.3,45,9.9,99.7
42.9,45.3,10.6,99.9
43.3,45.7,10.8,100.2
43.7,46.1,10.8,100.5
44,46.2,10.8,100.2
44.4,46.3,10.7,99.9
44.8,46.5,10.9,99.8
45.4,47.1,11.3,100.3
45.9,47.4,11.6,100.6
46.4,47.7,11.6,100.6
46.6,48,11.3,100.7
46.9,48.2,11,100.8
47,48.6,10.1,100.9
47.3,49,9.8,101.2
47.4,49.1,9.1,101
47.8,49.3,8.9,101
48.2,49.6,8.7,101.1
48.6,49.7,8.6,100.8
49.1,49.9,8.9,100.6
49.4,50.3,8.5,100.9
49.6,50.7,8.3,101.2
49.8,51.1,7.9,101.5
50,51.4,7.4,101.6
50.1,51.5,6.9,101.3
50.2,51.6,6.3,101.1
50.4,51.7,6,100.8
50.8,51.9,6.2,100.7
50.9,52.1,5.8,100.6
51.3,52.1,5.9,100.1
51.5,52.2,5.8,99.6
51.9,52.4,6,99.3
51.7,52.5,5.1,98.9
51.9,52.4,4.9,98.1
52.2,52.5,5,97.6
52.7,52.5,5.3,97.1
53.1,52.7,5.6,96.9
53.2,52.9,5.4,96.7
53.5,53,5.6,96.4
53.6,53.3,5.3,96.5
54,53.6,5.7,96.5
54.3,53.9,5.9,96.4
54.8,54.2,6.4,96.5
55.1,54.5,6.4,96.8
55.5,54.7,6.6,96.7
55.9,55.1,6.8,97
56.4,55.3,7.3,97.1
57,55.7,8,97.5
57.6,56.1,8.5,97.8
58.2,56.6,9.1,98.2
58.9,56.9,9.7,98.4
59.3,57.2,9.8,98.5
59.7,57.5,9.8,98.6
60.2,57.8,10.1,98.9
60.7,58.2,10.3,99.2
61.4,58.4,10.6,99
61.7,58.5,10.2,98.9
62.3,58.8,10.4,99
62.7,59.3,10.3,99.5
63.4,59.9,10.6,100.3
64.3,60.3,11.1,100.7
64.7,60.7,10.8,101.2
65.1,61,10.6,101.5
65,61.4,9.3,102
65.4,61.7,9,102.2
65.4,62.1,8.1,102.7
65.6,62.5,7.5,103.1
66.3,62.6,7.6,103.2
66.8,62.9,7.6,103.5
67.3,63.1,7.4,103.5
67.3,63.3,6.7,103.7
67.7,63.6,6.5,103.8
68,64,6.3,104.1
68.2,64.3,6,104.3
68.2,64.7,5.3,104.5
68.4,64.9,4.9,104.4
68.4,65.3,4.4,104.7
68.7,65.7,4.3,105
68.5,65.8,3.5,104.9
69,65.9,3.8,104.8
69.4,66.1,4,104.6
69.5,66.4,3.6,104.8
69.3,66.7,3,104.9
69.4,67,2.8,105
70.1,67.2,3.3,105
70,67.1,2.8,104.4
70,67.2,2.6,104.2
70.3,67.3,2.8,104.1
71.3,68,3.9,104.5
71.7,68.3,4.2,104.7
72.2,68.6,4.8,104.8
72.4,68.6,4.8,104.8
72.8,68.9,5.1,104.9
72.6,69,4.6,105
72.6,69.1,4.3,105
72,68.8,3.1,104.7
70.5,68.2,0.4,104.2
68,66.6,-3.4,101.7
66.7,64.9,-5.8,99
66.3,63.2,-6.6,96.2
66.9,62.6,-6.1,95
67.1,62.3,-6.2,94.1
67.2,62,-6,93.4
67.6,61.7,-5.3,92.6
68.2,61.7,-4,92.2
69,62.1,-2.5,92.6
70,63.1,-0.6,93.7
70.8,64.3,1.1,95
71.5,65,2.7,95.7
72.5,65.4,4.8,95.9
73.6,65.9,7,96.4
74.9,66.4,9.3,96.6
75.9,67.3,11.1,97.2
76.9,67.9,12.9,97.5
78,69,14.3,98.4
79.1,70.1,15.2,99.3
79.8,71.1,15.3,100
80.4,71.9,15,100.5
80.6,72.4,14,100.4
80.8,73.2,13,100.8
80.7,73.7,11.5,100.9
80.8,74.5,10.2,101.2
80.6,74.8,8.5,100.8
80.4,75.3,6.8,101
80.3,75.5,5.5,100.7
80.5,76.2,4.6,101.1
80.8,76.6,3.9,101.2
81,77.7,3.3,102
81.5,78.2,3.2,102.1
81.4,78.4,2.4,101.9
80.7,78.4,1.1,101.4
79.3,78.2,-1.1,100.5
78.8,78.2,-2,100
79,78.2,-1.9,99.5
79.3,78.5,-1.8,99.4
79.7,78.8,-1.4,99.1
79.8,79.1,-1.3,99
80.6,79.6,-0.1,99.1
81.1,80,0.7,99.1
81.5,80,1.5,98.6
81.6,80.5,1.6,98.6
82,81.4,2.2,99.1
82.6,82.3,3,99.7
83.6,82.9,4.3,99.8
84.8,83,5.8,99.5
86.4,83.9,7.7,100
87.7,84.9,9.3,100.6
89.6,86.1,11.7,101.5
90.6,86.8,12.6,101.8
91,87.2,12.6,101.8
90.2,87.2,11,101.3
90.1,87.6,10,101.2
90.3,88,9.3,101.3
90.5,88.8,8.4,101.7
90.5,89.2,7.3,101.7
90.6,89.7,6.3,101.8
91.1,90.2,5.9,101.8
91.1,90.3,5.1,101.6
90.8,90.6,3.9,101.4
89.9,90.5,2,100.9
89.6,90.5,0.9,100.5
89.6,90.4,0.3,100
90.7,90.7,0.9,99.9
91.3,90.8,1.2,99.5
92.2,91.3,1.9,99.7
92.7,91.7,2.4,99.7
93.6,92.8,3.5,100.4
94,93.3,4,100.6
94.6,94.2,4.6,101.1
94.9,94.7,4.9,101.2
95.3,95.3,5.1,101.5
95.5,95.7,5.1,101.4
95.7,96,5,101.3
96,96.2,5,101.1
96.1,96.2,4.8,100.7
96.1,96.1,4.4,100.1
95.9,96,3.8,99.6
95.9,96.2,3.3,99.3
96.2,96.6,3,99.3
96.2,96.9,2.5,99.2
96.5,97.1,2.3,99.1
96.5,97.6,1.9,99.1
97.2,97.7,2.3,98.8
98.4,98.3,3.2,98.9
98.9,98.4,3.6,98.6
99.3,99,3.8,98.9
99.4,99.5,3.7,98.9
100.2,100.3,4.4,99.2
100.9,101,5,99.5
101.5,101.3,5.3,99.4
101.8,101.5,5.3,99.2
102.5,102.4,5.8,99.6
103.4,103.1,6.4,99.9
104.1,104,6.7,100.3
104.1,104.2,6.3,100
104.1,104.7,5.7,100.1
104.2,104.9,5.3,99.9
104.4,105.3,5,99.9
104.7,105.6,4.7,99.7
104.8,105.1,4.1,98.8
105.2,105.6,3.9,98.9
106,106.5,4.3,99.3
106.9,108.3,4.7,100.6
107.6,109.1,5,100.9
108,109.3,4.9,100.6
108.5,109.4,5,100.3
109.3,109.8,5.4,100.2
109.7,110.2,5.4,100.2
110.5,110.8,5.7,100.3
110.8,111.4,5.6,100.3
111.7,112.2,6.1,100.6
112.5,113,6.5,100.9
113.3,113.6,6.8,101.1
114,113.7,6.9,100.7
114.8,114.3,7.2,100.8
115.5,114.8,7.3,100.8
115.8,115.8,7,101.2
115.1,116.6,5.7,101.5
114.3,116.7,4.3,101.2
113.8,116.9,3.2,100.9
114,116.9,2.8,100.5
114.1,117.3,2.3,100.4
113.6,117.2,1.2,99.9
